L1,L2,L3,L4,LC_UNQ,L1-label,L2-label,L3_Label,L4_Label,L5_label,Text,details,L1_name,L2_name,L3_name,L4_name,UNQ_name,,CropNoCrop
60,100,101,107,107,,,,soybean-maize-wheat,,                      soybean-maize-wheat,,LowVeg,LowCrop,crop_cereal,soy_maize_wheat,soy_maize_wheat,,100
60,100,101,103,103,,,,,soybean,                             soybean,,LowVeg,LowCrop,crop_cereal,soy_maize_wheat,soy_maize_wheat,,100
60,100,101,102,106,,,,,maize,                             maize,"For annual maps, only use if corn in the main cropping season",LowVeg,LowCrop,crop_cereal,soy_maize_wheat,maize,,100
60,100,101,102,102,,,,,wheat,                             wheat,"For annual maps, only use if wheat in the main cropping season",LowVeg,LowCrop,crop_cereal,soy_maize_wheat,wheat,,100
60,100,101,110,110,,,,sorghum / millet,,                      sorghum / millet,,LowVeg,LowCrop,crop_cereal,crop_sorg_mil,sorghum_millet,,100
60,100,101,110,111,,,,,sorghum,                             sorghum,,LowVeg,LowCrop,crop_cereal,crop_sorg_mil,sorghum,,100
60,100,101,110,112,,,,,millet,                             millet,,LowVeg,LowCrop,crop_cereal,crop_sorg_mil,millet,,100
60,100,101,105,113,,,,barley,,                      barley,,LowVeg,LowCrop,crop_cereal,barley,barley,,100
60,100,101,105,114,,,,rice,,                      rice,,LowVeg,LowCrop,crop_cereal,rice,rice,,100
60,100,101,105,115,,,,oats,,                      oats,,LowVeg,LowCrop,crop_cereal,oats,oats,,100
60,100,101,105,116,,,,rye,,                      rye,,LowVeg,LowCrop,crop_cereal,rye,rye,,100
60,100,101,123,123,,,oilseeds,,,                      oilseeds,,LowVeg,LowCrop,crop_seed,oilseed,oilseed,,100
60,100,101,123,117,,,,rapeseed / canola,,                            rapeseed / canola,,LowVeg,LowCrop,crop_seed,sunflower,sunflower,,100
60,100,101,123,118,,,,sesame,,                             sesame,,LowVeg,LowCrop,crop_seed,sesame,sesame,,100
60,100,101,123,119,,,,poppy,,                             poppy,,LowVeg,LowCrop,crop_seed,poppy,poppy,,100
60,100,101,123,120,,,,sunflower,,                             sunflower,,LowVeg,LowCrop,crop_seed,sunflower,sunflower,,100
60,100,101,121,121,,,cucurbits,,,                       cucurbits,,LowVeg,LowCrop,crop_cucurbit,cucurbits,cucurbits,,100
60,100,101,121,122,,,,squash / pumpkin,,                            squash / pumpkin,,LowVeg,LowCrop,crop_cucurbit,squash,squash,,100
60,100,101,121,124,,,,melon,,                            melon,,LowVeg,LowCrop,crop_cucurbit,melow,melow,,100
60,100,101,125,125,,,root / tuber crops,,,                      root / tuber crops,,LowVeg,LowCrop,crops_tubers,crops_tubers,crops_tubers,,100
60,100,101,125,109,,,,beet,,                            beet,,LowVeg,LowCrop,crops_tubers,crop_beet,beet,,100
60,100,101,125,126,,,,sweet potato / yam,,                           sweet potato / yam,,LowVeg,LowCrop,crops_tubers,yam,yam,,100
60,100,101,125,128,,,,potato,,                           potato,,LowVeg,LowCrop,crops_tubers,potato,potato,,100
60,100,101,125,127,,,,onion,,                            onion,,LowVeg,LowCrop,crops_tubers,onion,onion,,100
